rank,title,score,info,type,episodes,episode_bins
144,Shoujo☆Kageki Revue Starlight Movie,8.5,"Movie (1 eps)         Jun 2021 - Jun 2021         24,142 members",Movie,1.0,Short (<=12)
145,Sora yori mo Tooi Basho,8.5,"TV (13 eps)         Jan 2018 - Mar 2018         536,623 members",TV,13.0,Medium (13–26)
146,Yuru Camp△ Season 2,8.5,"TV (13 eps)         Jan 2021 - Apr 2021         244,427 members",TV,13.0,Medium (13–26)
147,Tian Guan Cifu Special,8.49,"ONA (1 eps)         Feb 2021 - Feb 2021         57,148 members",ONA,1.0,Short (<=12)
148,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.49,"Movie (1 eps)         Oct 2013 - Oct 2013         404,270 members",Movie,1.0,Short (<=12)
149,Mob Psycho 100,8.49,"TV (12 eps)         Jul 2016 - Sep 2016         2,221,492 members",TV,12.0,Short (<=12)
150,Ousama Ranking,8.49,"TV (23 eps)         Oct 2021 - Mar 2022         715,433 members",TV,23.0,Medium (13–26)
151,One Punch Man,8.48,"TV (12 eps)         Oct 2015 - Dec 2015         3,398,564 members",TV,12.0,Short (<=12)
152,Uchuu Kyoudai,8.48,"TV (99 eps)         Apr 2012 - Mar 2014         205,398 members",TV,99.0,Long (>26)
153,Yakusoku no Neverland,8.48,"TV (12 eps)         Jan 2019 - Mar 2019         2,080,312 members",TV,12.0,Short (<=12)
154,Summertime Render,8.47,"TV (25 eps)         Apr 2022 - Sep 2022         626,245 members",TV,25.0,Medium (13–26)
155,Kimi ni Todoke 3rd Season,8.47,"ONA (5 eps)         Aug 2024 - Aug 2024         94,401 members",ONA,5.0,Short (<=12)
156,Nichijou,8.47,"TV (26 eps)         Apr 2011 - Sep 2011         950,287 members",TV,26.0,Medium (13–26)
157,Ansatsu Kyoushitsu 2nd Season,8.47,"TV (25 eps)         Jan 2016 - Jul 2016         1,515,770 members",TV,25.0,Medium (13–26)
158,Aria the Origination,8.47,"TV (13 eps)         Jan 2008 - Apr 2008         137,405 members",TV,13.0,Medium (13–26)
159,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.47,"Movie (1 eps)         Jan 2019 - Jan 2019         417,911 members",Movie,1.0,Short (<=12)
160,Chihayafuru 3,8.46,"TV (24 eps)         Oct 2019 - Mar 2020         151,625 members",TV,24.0,Medium (13–26)
161,Gintama: The Semi-Final,8.46,"Special (2 eps)         Jan 2021 - Jan 2021         87,208 members",Special,2.0,Short (<=12)
162,Spy x Family,8.46,"TV (12 eps)         Apr 2022 - Jun 2022         1,759,093 members",TV,12.0,Short (<=12)
163,Uma Musume: Cinderella Gray,8.46,"TV (13 eps)         Apr 2025 - Jun 2025         33,495 members",TV,13.0,Medium (13–26)
164,Yuu☆Yuu☆Hakusho,8.46,"TV (112 eps)         Oct 1992 - Jan 1995         729,459 members",TV,112.0,Long (>26)
165,Mo Dao Zu Shi,8.46,"ONA (15 eps)         Jul 2018 - Oct 2018         246,795 members",ONA,15.0,Medium (13–26)
166,Mo Dao Zu Shi: Xian Yun Pian,8.46,"ONA (8 eps)         Aug 2019 - Sep 2019         114,331 members",ONA,8.0,Short (<=12)
167,Nezha Zhi Mo Tong Nao Hai,8.46,"Movie (1 eps)         Jan 2025 - Jan 2025         4,567 members",Movie,1.0,Short (<=12)
168,Rainbow: Nisha Rokubou no Shichinin,8.46,"TV (26 eps)         Apr 2010 - Sep 2010         414,310 members",TV,26.0,Medium (13–26)
169,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,8.46,"TV (16 eps)         Oct 2024 - Mar 2025         417,534 members",TV,16.0,Medium (13–26)
170,Owarimonogatari,8.45,"TV (12 eps)         Oct 2015 - Dec 2015         498,773 members",TV,12.0,Short (<=12)
171,Pluto,8.45,"ONA (8 eps)         Oct 2023 - Oct 2023         219,970 members",ONA,8.0,Short (<=12)
172,Banana Fish,8.45,"TV (24 eps)         Jul 2018 - Dec 2018         924,557 members",TV,24.0,Medium (13–26)
173,Chainsaw Man,8.45,"TV (12 eps)         Oct 2022 - Dec 2022         1,770,347 members",TV,12.0,Short (<=12)
174,Doupo Cangqiong: Nian Fan,8.45,"ONA (157 eps)         Jul 2022 -          10,738 members",ONA,157.0,Long (>26)
175,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.45,"Movie (1 eps)         Apr 2013 - Apr 2013         623,603 members",Movie,1.0,Short (<=12)
176,Tian Guan Cifu Short Film,8.45,"ONA (? eps)         Feb 2025 -          7,795 members",ONA,,
177,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,8.44,"TV (24 eps)         Jan 2015 - Jun 2015         1,190,176 members",TV,24.0,Medium (13–26)
178,Grand Blue,8.44,"TV (12 eps)         Jul 2018 - Sep 2018         845,819 members",TV,12.0,Short (<=12)
179,Bungou Stray Dogs 4th Season,8.43,"TV (13 eps)         Jan 2023 - Mar 2023         334,945 members",TV,13.0,Medium (13–26)
180,Given Movie 3: Umi e,8.43,"Movie (1 eps)         Sep 2024 - Sep 2024         20,295 members",Movie,1.0,Short (<=12)
181,Golden Kamuy 3rd Season,8.43,"TV (12 eps)         Oct 2020 - Dec 2020         187,474 members",TV,12.0,Short (<=12)
182,Haikyuu!!,8.43,"TV (25 eps)         Apr 2014 - Sep 2014         2,092,753 members",TV,25.0,Medium (13–26)
183,Hunter x Hunter,8.43,"TV (62 eps)         Oct 1999 - Mar 2001         626,085 members",TV,62.0,Long (>26)
184,Zoku Owarimonogatari,8.43,"TV (6 eps)         May 2019 - Jun 2019         243,798 members",TV,6.0,Short (<=12)
185,Karakai Jouzu no Takagi-san Movie,8.43,"Movie (1 eps)         Jun 2022 - Jun 2022         88,050 members",Movie,1.0,Short (<=12)
186,Kimetsu no Yaiba,8.43,"TV (26 eps)         Apr 2019 - Sep 2019         3,271,751 members",TV,26.0,Medium (13–26)
187,Kono Oto Tomare! Part 2,8.42,"TV (13 eps)         Oct 2019 - Dec 2019         193,861 members",TV,13.0,Medium (13–26)
188,Koukaku Kidoutai: Stand Alone Complex,8.42,"TV (26 eps)         Oct 2002 - Oct 2003         413,892 members",TV,26.0,Medium (13–26)
189,Mushishi Zoku Shou: Odoro no Michi,8.42,"TV Special (1 eps)         Aug 2014 - Aug 2014         107,926 members",TV Special,1.0,Short (<=12)
190,Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.42,"Movie (1 eps)         Sep 2018 - Sep 2018         80,695 members",Movie,1.0,Short (<=12)
191,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.42,"TV (12 eps)         Jan 2021 - Mar 2021         1,002,243 members",TV,12.0,Short (<=12)
192,Gintama: Yorinuki Gintama-san on Theater 2D,8.42,"Movie (2 eps)         Aug 2012 - Aug 2012         47,597 members",Movie,2.0,Short (<=12)
